Ensembl_ID	555de98a-5925-41d0-8095-7ae42c480861
ENSG00000000003.13	12.064742764750257
ENSG00000000005.5	2.807354922057604
ENSG00000000419.11	11.292896755409172
ENSG00000000457.12	9.905387005018131
ENSG00000000460.15	10.053925881531105
ENSG00000000938.11	9.85642552862553
ENSG00000000971.14	9.799281621521923
ENSG00000001036.12	12.8362476466879
ENSG00000001084.9	10.861862340059151
ENSG00000001167.13	11.256798386079389
ENSG00000001460.16	10.302638923787553
ENSG00000001461.15	12.105581181277437
ENSG00000001497.15	11.940680648424093
ENSG00000001561.6	9.577428828035748
ENSG00000001617.10	12.275251543470327
ENSG00000001626.13	6.321928094887363
ENSG00000001629.8	12.517423341396473
ENSG00000001630.14	7.857980995127572
ENSG00000001631.13	10.958552715431011
ENSG00000002016.15	10.43567026093655
ENSG00000002079.11	3.9068905956085187
ENSG00000002330.12	10.78953364497036
ENSG00000002549.11	12.895007180368662
ENSG00000002586.16	12.582377235640692
ENSG00000002587.8	9.479780264029099
ENSG00000002726.18	7.383704292474052
ENSG00000002745.11	2.321928094887362
ENSG00000002746.13	4.321928094887363
ENSG00000002822.14	11.074810461160453
ENSG00000002834.16	13.759888183221834
ENSG00000002919.13	10.72451385311995
ENSG00000002933.6	11.452241240430817
ENSG00000003056.6	14.159950153191907
ENSG00000003096.12	7.734709620225838
ENSG00000003137.7	7.22881869049588
ENSG00000003147.16	10.99859042974533
ENSG00000003249.12	11.41204051455165
ENSG00000003393.13	11.041659151637214
ENSG00000003400.13	8.569855608330947
ENSG00000003402.18	12.535761377986656
ENSG00000003436.13	10.499845887083206
ENSG00000003509.14	9.370687406807217
ENSG00000003756.15	12.211279947482009
ENSG00000003987.12	9.29232163280204
ENSG00000003989.15	10.213104219641906
ENSG00000004059.9	13.523561956057012
ENSG00000004139.12	8.554588851677638
ENSG00000004142.10	12.373952655370193
ENSG00000004399.11	12.562957869334118
ENSG00000004455.15	13.466586337719244
ENSG00000004468.11	9.105908508571158
ENSG00000004478.7	16.28928045791826
ENSG00000004487.14	13.700873155140263
ENSG00000004534.13	12.740413232033294
ENSG00000004660.13	8.204571144249204
ENSG00000004700.14	12.188279751964144
ENSG00000004766.14	10.639340708652231
ENSG00000004776.10	8.312882955284355
ENSG00000004777.17	8.974414589805527
ENSG00000004779.8	12.118941072723507
